City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Port Hawkesbury,CA,77.92,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
162,Buluang,PH,78.44,overcast clouds,13.3068,123.3425,Enon Beach Resort
165,Faanui,PF,79.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Monrovia,LR,85.77,overcast clouds,6.3005,-10.7969,Sunset Inn
168,Lorengau,PG,80.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
172,Fort Nelson,CA,86.59,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
175,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
177,Marica,BR,82.35,clear sky,-22.9194,-42.8186,Marica Hills
179,Vanimo,PG,76.95,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
181,Umm Lajj,SA,86.59,clear sky,25.0213,37.2685,Moon light Furnished Units
182,Broome,US,89.56,scattered clouds,42.2506,-75.833,Chenango Valley State Park
183,Jamestown,US,87.39,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
184,Mayskiy,RU,78.44,broken clouds,47.6931,40.1025,Dio Lakrua
185,Vorsma,RU,73.24,overcast clouds,55.9856,43.2717,House by the river
188,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
194,Bethel,US,88.43,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
197,Kavieng,PG,80.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
198,Humberto De Campos,BR,81.75,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
199,Hanko,FI,72.14,clear sky,59.8333,22.95,Villa Maija
201,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
203,Manokwari,ID,77.7,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
205,Port Blair,IN,81.91,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
209,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
211,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
214,Tulum,MX,87.85,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
217,Kloulklubed,PW,83.44,broken clouds,7.0419,134.2556,Storyboard Beach Resort
219,Shenjiamen,CN,75.34,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
220,Pacific Grove,US,84.81,broken clouds,36.6177,-121.9166,Lovers Point Inn
221,Ranong,TH,79.65,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
222,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
224,Samarai,PG,78.42,scattered clouds,-10.6167,150.6667,Nuli Sapi
225,Luanda,AO,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
226,Basoda,IN,89.56,broken clouds,23.85,77.9333,Sahu Dharamshala
230,Ler,SS,80.08,broken clouds,8.3018,30.1418,
231,Bay Roberts,CA,74.95,overcast clouds,47.5999,-53.2648,Stonewall Inn
232,Pasni,PK,81.95,few clouds,25.2631,63.471,Kashmiri Hotal
235,Korhogo,CI,88.5,broken clouds,9.45,-5.6333,Hôtel Tchinbota
236,Prado,BR,75.51,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
238,The Valley,AI,85.82,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
240,Jiuquan,CN,73.22,scattered clouds,39.7432,98.5174,Jiuquan Hotel
241,Nola,IT,86.65,scattered clouds,40.922,14.5329,Pamaran Hotel
242,Lata,PT,70.03,clear sky,40.1629,-8.3327,Casa Maquia
246,Sao Filipe,CV,75.99,scattered clouds,14.8961,-24.4956,Hotel Xaguate
