City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Bilgoraj,50.5411,22.722,71.65,72,96,3.76,PL,overcast clouds
80,Washington,47.5001,-120.5015,99.93,21,0,5.12,US,clear sky
81,Saint-Paul,-21.0096,55.2707,73.49,92,8,2.75,RE,clear sky
82,Ajdabiya,30.7554,20.2263,85.66,44,0,15.32,LY,clear sky
83,San Jose,37.3394,-121.895,83.77,58,20,9.22,US,few clouds
84,Ducheng,23.2373,111.5317,79.18,91,98,2.95,CN,overcast clouds
85,Seoul,37.5683,126.9778,74.77,69,75,8.05,KR,broken clouds
86,Narsaq,60.9167,-46.05,61.02,76,98,4.76,GL,overcast clouds
87,Port Elizabeth,-33.918,25.5701,61.09,72,0,8.05,ZA,clear sky
88,Vao,-22.6667,167.4833,73.42,75,96,15.55,NC,overcast clouds
89,Hilo,19.7297,-155.09,80.28,91,90,4.61,US,light rain
90,Puerto Ayora,-0.7393,-90.3518,76.96,85,69,5.01,EC,broken clouds
91,Salekhard,66.53,66.6019,49.42,76,80,12.39,RU,broken clouds
92,Aleksandriyskaya,44.2272,43.3453,79.43,85,74,6.04,RU,broken clouds
93,Kindu,-2.95,25.95,77.88,35,75,2.24,CD,broken clouds
94,Saint Anthony,45.0205,-93.218,79.63,65,90,1.99,US,overcast clouds
95,Portland,45.5234,-122.6762,105.08,37,1,1.01,US,clear sky
96,Russell,32.3502,-85.1999,90.79,58,40,10.36,US,scattered clouds
97,Chuy,-33.6971,-53.4616,50.25,74,51,14.16,UY,broken clouds
98,Lebu,-37.6167,-73.65,50.94,55,0,12.84,CL,clear sky
99,Luwuk,-0.9516,122.7875,76.08,89,41,4.76,ID,scattered clouds
100,Dickinson,29.4608,-95.0513,91.49,65,20,1.99,US,few clouds
101,Chany,55.3121,76.7647,59.81,95,100,7.11,RU,light rain
102,Khandyga,62.6667,135.6,58.82,85,17,3.29,RU,few clouds
103,Sembe,1.6481,14.5806,72.23,96,88,2.59,CG,moderate rain
104,Beringovskiy,63.05,179.3167,42.94,90,25,5.23,RU,scattered clouds
105,Sabang,5.8933,95.3214,82.94,74,38,14.25,ID,scattered clouds
106,Terney,45.0503,136.6092,55.62,99,62,8.12,RU,broken clouds
107,Guerrero Negro,27.9769,-114.0611,71.64,60,50,13.76,MX,scattered clouds
108,Tagusao,9.1924,117.8141,80.24,81,92,2.44,PH,light rain
109,Sur,22.5667,59.5289,85.66,61,1,16.24,OM,clear sky
110,Dwarka,22.2394,68.9678,84.38,71,8,15.68,IN,clear sky
111,Campbell River,50.0163,-125.2446,89.98,40,1,6.91,CA,clear sky
112,Maniitsoq,65.4167,-52.9,43.9,93,100,12.06,GL,light rain
113,Qaanaaq,77.484,-69.3632,38.53,82,99,1.12,GL,overcast clouds
114,Clonakilty,51.6231,-8.8706,69.01,75,23,10.89,IE,few clouds
115,Narasannapeta,18.4167,84.05,82.6,83,19,7.61,IN,few clouds
116,Severnoye,56.3491,78.3619,58.03,96,100,2.66,RU,light rain
117,Along,28.1667,94.7667,75.49,100,100,1.68,IN,overcast clouds
